Year_Month,USAGE_GB,Billing_Account_Id,Churn_Flag,Churn_Sub_Category
202505,6,100008799538,EARLY CHURN,CMP
202502,583,2106781400,CORE CHURN,OCR
202504,32,100007878067,CORE CHURN,OCR
202503,55,100008015956,CORE CHURN,OCR
202503,0,100008498346,EARLY CHURN,CMP
202503,37,100008878102,EARLY CHURN,OCR
202505,1,100008773872,EARLY CHURN,CMP
202501,0,100008686905,EARLY CHURN,OCR
202503,50,100008416165,EARLY CHURN,CMP
202505,9,100007689046,CORE CHURN,CMP
202504,66,100006509089,CORE CHURN,CMP
202501,1,100002834926,EARLY CHURN,CMP
202504,0,100008420875,EARLY CHURN,CMP
202502,536,100004060040,CORE CHURN,CMP
202504,46,100008380191,EARLY CHURN,CMP
202505,57,100008526401,EARLY CHURN,CMP
202504,56,100008550181,EARLY CHURN,OCR
202503,79,100006320222,CORE CHURN,OCR
202503,10,100008496417,EARLY CHURN,CMP
202503,55,100005167292,CORE CHURN,OCR
202412,557,100007869513,CORE CHURN,OCR
202503,8,100008001114,CORE CHURN,CMP
202501,8,100004732042,CORE CHURN,CMP
202412,1,100005931685,CORE CHURN,CMP
202504,1,1212258024,EARLY CHURN,CMP
202504,22,100008595122,EARLY CHURN,CMP
202504,20,100003025977,CORE CHURN,OCR
202505,55,100008691291,EARLY CHURN,CMP
202503,40,100008181585,EARLY CHURN,CMP
202505,58,100008267060,CORE CHURN,CMP
202504,4,100008555713,EARLY CHURN,CMP
202505,95,100007598739,CORE CHURN,CMP
202503,73,100008460534,EARLY CHURN,CMP
202503,2,100008055249,EARLY CHURN,CMP
202502,434,100007592048,CORE CHURN,CMP
202503,98,100004061210,CORE CHURN,CMP
202504,48,2102445667,CORE CHURN,CMP
202505,90,100008169822,CORE CHURN,CMP
202503,15,100008317665,EARLY CHURN,OCR
202505,3,100008697369,EARLY CHURN,CMP
202504,50,100004681576,EARLY CHURN,CMP
202503,67,100008611981,EARLY CHURN,OCR
202504,13,100008685440,EARLY CHURN,CMP
202505,22,100008513198,EARLY CHURN,CMP
202504,6,100008681695,EARLY CHURN,CMP
202504,62,100008729573,EARLY CHURN,OCR
202504,65,100004802453,EARLY CHURN,OCR
202503,18,100005786401,CORE CHURN,OCR
202502,0,2106565881,CORE CHURN,OCR
202501,593,1515460227,CORE CHURN,OCR
202505,72,100008536951,EARLY CHURN,CMP
202502,0,L1214964334,EARLY CHURN,CMP
202501,414,100006874244,CORE CHURN,OCR
202504,42,100003990304,EARLY CHURN,OCR
202501,460,100006083112,CORE CHURN,OCR
202504,0,100008379315,EARLY CHURN,OCR
202503,59,100008774376,EARLY CHURN,OCR
202501,6,100007854483,CORE CHURN,CMP
202505,78,100008687467,EARLY CHURN,CMP
202503,82,100007262003,CORE CHURN,CMP
202412,592,100008440338,EARLY CHURN,OCR
202412,629,100008020023,EARLY CHURN,OCR
202501,11,100005609930,EARLY CHURN,OCR
202505,13,100008756394,EARLY CHURN,CMP
202502,511,100006480035,CORE CHURN,CMP
202503,76,100007994376,CORE CHURN,CMP
202503,90,100007279719,CORE CHURN,OCR
202505,0,2100258082,EARLY CHURN,CMP
202503,45,100008082876,CORE CHURN,CMP
202505,95,100007335713,CORE CHURN,CMP
202505,0,100008818167,EARLY CHURN,CMP
202503,0,100003660002,EARLY CHURN,OCR
202503,98,L1457833470,CORE CHURN,OCR
202504,62,100008434781,EARLY CHURN,CMP
202505,0,100008554814,EARLY CHURN,CMP
202504,17,100008673701,EARLY CHURN,CMP
202504,4,100008604323,EARLY CHURN,CMP
202504,72,100008583067,EARLY CHURN,CMP
202503,37,100006909865,CORE CHURN,CMP
202503,0,1512651730,CORE CHURN,OCR
202412,473,100008136239,EARLY CHURN,CMP
202504,27,100008585656,EARLY CHURN,CMP
202501,1,1812444913,CORE CHURN,OCR
202501,625,100005482118,CORE CHURN,CMP
202502,15,100008186763,EARLY CHURN,CMP
202504,31,100008825321,EARLY CHURN,OCR
202503,74,100008381212,EARLY CHURN,CMP
202503,94,100007637890,CORE CHURN,CMP
202501,673,100008189972,EARLY CHURN,CMP
202502,497,100005694472,CORE CHURN,CMP
202504,68,100007866126,CORE CHURN,CMP
202502,408,100006532497,CORE CHURN,CMP
202502,0,100005251400,CORE CHURN,CMP
202502,412,100008341698,EARLY CHURN,CMP
202505,0,2106924997,CORE CHURN,OCR
202503,71,100008299371,EARLY CHURN,CMP
202505,1,100008733486,EARLY CHURN,CMP
202412,25,100008099935,EARLY CHURN,CMP
202504,5,100008639174,EARLY CHURN,CMP
202503,53,2107044195,CORE CHURN,OCR
202503,0,100007984484,EARLY CHURN,CMP
202502,557,100005829241,CORE CHURN,CMP
202501,478,100007850163,CORE CHURN,CMP
202505,78,100007579899,CORE CHURN,CMP
202502,0,100007889003,CORE CHURN,OCR
202503,46,100006014251,CORE CHURN,CMP
202504,20,100008681115,EARLY CHURN,CMP
202502,49,100008234829,EARLY CHURN,CMP
202503,0,100008311245,EARLY CHURN,CMP
202503,88,100007632950,CORE CHURN,CMP
202505,50,100008660538,EARLY CHURN,CMP
202505,9,1216616543,EARLY CHURN,CMP
202504,15,1425427216,EARLY CHURN,OCR
202501,0,100007310192,CORE CHURN,CMP
202505,64,100006223898,CORE CHURN,CMP
202503,13,100008594275,EARLY CHURN,CMP
202504,65,100008774876,EARLY CHURN,OCR
202504,73,100006368640,CORE CHURN,CMP
202503,1,1214964130,EARLY CHURN,OCR
202505,83,100007408069,CORE CHURN,CMP
202504,58,100007036036,CORE CHURN,CMP
202502,481,1554226211,CORE CHURN,CMP
202505,6,100008752271,EARLY CHURN,CMP
202505,32,100008742503,EARLY CHURN,CMP
202412,567,100005549378,CORE CHURN,OCR
202503,64,100008464137,EARLY CHURN,CMP
202412,518,100008127619,EARLY CHURN,CMP
202505,35,100008708972,EARLY CHURN,CMP
202504,23,100008665417,EARLY CHURN,CMP
202503,9,100008318613,EARLY CHURN,CMP
202501,420,100006908463,CORE CHURN,OCR
202502,1,100008468442,EARLY CHURN,CMP
202503,68,100006001344,CORE CHURN,CMP
202503,0,100005845990,CORE CHURN,OCR
202503,1,100002353807,EARLY CHURN,CMP
202503,58,100003936685,CORE CHURN,CMP
202502,470,100006483236,CORE CHURN,CMP
202505,88,100008371374,CORE CHURN,CMP
202504,1,100002946667,CORE CHURN,CMP
202412,5,100006952096,CORE CHURN,CMP
202505,6,100000867029,EARLY CHURN,CMP
202502,40,100004606536,CORE CHURN,OCR
202505,41,100008786495,EARLY CHURN,CMP
202503,5,100008497278,EARLY CHURN,CMP
202412,468,100006979954,CORE CHURN,CMP
202503,2,100006269761,CORE CHURN,OCR
202504,69,100008992139,EARLY CHURN,OCR
202505,25,100008911779,EARLY CHURN,OCR
202412,485,100007260976,CORE CHURN,CMP
202412,7,100007832590,CORE CHURN,CMP
202504,13,100008957067,EARLY CHURN,OCR
202502,31,100005071298,CORE CHURN,CMP
202412,22,100007949018,EARLY CHURN,OCR
202503,86,100002134353,EARLY CHURN,OCR
202503,0,100008561449,EARLY CHURN,CMP
202501,547,100006961190,CORE CHURN,CMP
202412,433,2105938719,CORE CHURN,OCR
202504,80,100008175931,CORE CHURN,OCR
202412,421,100007899506,CORE CHURN,CMP
202505,97,100007941586,CORE CHURN,CMP
202502,605,100007919509,CORE CHURN,CMP
202502,504,100008256106,EARLY CHURN,CMP
202412,1,100008601601,EARLY CHURN,OCR
202412,693,100006752584,CORE CHURN,CMP
202503,3,100003939509,EARLY CHURN,CMP
202502,41,100007697546,CORE CHURN,CMP
202505,80,100007675125,CORE CHURN,CMP
202502,678,100005951689,CORE CHURN,CMP
202503,99,100004481555,CORE CHURN,CMP
202503,79,100003567220,CORE CHURN,CMP
202503,94,100006694543,CORE CHURN,CMP
202504,53,100008343621,CORE CHURN,OCR
202505,6,100005710374,EARLY CHURN,OCR
202505,47,100008589009,EARLY CHURN,CMP
202503,0,100008493054,EARLY CHURN,CMP
202412,453,100007898650,CORE CHURN,CMP
202502,443,100008015420,CORE CHURN,CMP
202502,42,100007156804,CORE CHURN,CMP
202503,56,100007733271,CORE CHURN,CMP
202412,0,100007527648,CORE CHURN,CMP
202501,1,100008254749,EARLY CHURN,CMP
202504,93,100006006698,CORE CHURN,CMP
202504,7,100005661044,EARLY CHURN,CMP
202505,78,100008591746,EARLY CHURN,CMP
202503,66,100008397157,EARLY CHURN,CMP
202504,64,100006351588,CORE CHURN,OCR
