Billing_Account_Id,Region_Name,Exchange_Name,Zone
100008799538,STR,EXH0605,SOUTH
2106781400,MTR,EXH0545,CENTRAL
100007878067,MTR,EXH0546,CENTRAL
100008015956,RTR,EXH0896,NORTH
100008498346,SLTR,EXH0443,CENTRAL
100008878102,LTR - NORTH,EXH0401,CENTRAL
100008773872,GTR,EXH0480,CENTRAL
100008686905,LTR - NORTH,EXH0372,CENTRAL
100008416165,CTR,EXH0528,CENTRAL
100007689046,ITR,EXH0851,NORTH
100006509089,MTR,EXH0587,CENTRAL
100002834926,GTR,EXH0526R,CENTRAL
100008420875,LTR - SOUTH,EXH0388,CENTRAL
100004060040,LTR - SOUTH,EXH0386,CENTRAL
100008380191,ITR,EXH0864,NORTH
100008526401,SLTR,EXH0878,CENTRAL
100008550181,HTR,EXH0564,NORTH
100006320222,NTR - 2,EXH0424,NORTH
100008496417,FTR,EXH0464,CENTRAL
100005167292,KTR - 3,EXH0010,SOUTH
100007869513,LTR - SOUTH,EXH0901,CENTRAL
100008001114,FTR,EXH0510,CENTRAL
100004732042,GTR,EXH0526R,CENTRAL
100005931685,GTR,EXH0526K,CENTRAL
1212258024,KTR - 2,EXH0011,SOUTH
100008595122,LTR - NORTH,EXH0383,CENTRAL
100003025977,LTR - NORTH,EXH0377,CENTRAL
100008691291,ITR,EXH0418,NORTH
100008181585,CTR,EXH0592,CENTRAL
100008267060,MTR,EXH0873,CENTRAL
100008555713,QTR,EXH0600,SOUTH
100007598739,MTR,EXH0543,CENTRAL
100008460534,STR,EXH0599B,SOUTH
100008055249,NTR - 2,EXH0495,NORTH
100007592048,MTR,EXH0620,CENTRAL
100004061210,LTR - SOUTH,EXH0392,CENTRAL
2102445667,SLTR,EXH0514,CENTRAL
100008169822,KTR - 3,EXH0502,SOUTH
100008317665,FTR,EXH0536,CENTRAL
100008697369,MTR,EXH0544,CENTRAL
100004681576,ITR,EXH0413,NORTH
100008611981,LTR - NORTH,EXH0401,CENTRAL
100008685440,LTR - SOUTH,EXH0388,CENTRAL
100008513198,NTR - 1,EXH0639,NORTH
100008681695,LTR - NORTH,EXH0374,CENTRAL
100008729573,NTR - 2,EXH0624,NORTH
100004802453,KTR - 3,EXH0039,SOUTH
100005786401,HYTR,EXH0841,SOUTH
2106565881,ITR,EXH0410,NORTH
1515460227,ITR,EXH0413,NORTH
100008536951,QTR,EXH0419,SOUTH
