order_id,customer_id,order_date,shipping_date,item_id
1,1,2022-01-01,2022-01-02,1
2,84,2022-01-02,2022-01-03,23
3,17,2022-01-03,2022-01-04,45
4,93,2022-01-04,2022-01-05,12
5,56,2022-01-05,2022-01-06,9
6,20,2022-01-06,2022-01-07,38
7,46,2022-01-07,2022-01-08,56
8,77,2022-01-08,2022-01-09,3
9,5,2022-01-09,2022-01-10,17
10,82,2022-01-10,2022-01-11,50
11,13,2022-01-11,2022-01-12,5
12,79,2022-01-12,2022-01-13,28
13,62,2022-01-13,2022-01-14,18
14,38,2022-01-14,2022-01-15,47
15,92,2022-01-15,2022-01-16,32
16,28,2022-01-16,2022-01-17,14
17,7,2022-01-17,2022-01-18,60
18,11,2022-01-18,2022-01-19,8
19,69,2022-01-20,2022-01-21,21
20,50,2022-01-21,2022-01-22,42
21,90,2022-01-22,2022-01-23,2
22,23,2022-01-23,2022-01-24,54
23,89,2022-01-25,2022-01-26,19
24,41,2022-01-26,2022-01-27,36
25,3,2022-01-27,2022-01-28,7
26,81,2022-01-28,2022-01-29,25
27,32,2022-01-29,2022-01-30,49
28,98,2022-01-30,2022-01-31,15
29,70,2022-01-31,2022-02-01,39
30,14,2022-02-01,2022-02-02,52
31,2,2022-02-02,2022-02-03,6
32,85,2022-02-03,2022-02-04,35
33,60,2022-02-04,2022-02-05,20
34,47,2022-02-05,2022-02-06,44
35,25,2022-02-06,2022-02-07,11
36,10,2022-02-07,2022-02-08,55
37,74,2022-02-08,2022-02-09,24
38,63,2022-02-09,2022-02-10,37
39,4,2022-02-10,2022-02-11,30
40,16,2022-02-11,2022-02-12,16
41,29,2022-02-12,2022-02-13,59
42,54,2022-02-13,2022-02-14,4
43,94,2022-02-14,2022-02-15,22
44,43,2022-02-15,2022-02-16,48
45,96,2022-02-16,2022-02-17,13
46,71,2022-02-17,2022-02-18,33
47,58,2022-02-18,2022-02-19,58
48,53,2022-02-19,2022-02-20,26
49,76,2022-02-21,2022-02-22,34
50,87,2022-02-22,2022-02-23,27
51,35,2022-02-23,2022-02-24,46
52,8,2022-02-24,2022-02-25,29
53,31,2022-02-25,2022-02-26,40
54,68,2022-02-26,2022-02-27,57
55,39,2022-02-27,2022-02-28,1
56,99,2022-02-28,2022-03-01,23
57,61,2022-03-01,2022-03-02,45
58,44,2022-03-02,2022-03-03,12
59,15,2022-03-03,2022-03-04,9
60,86,2022-03-04,2022-03-05,38
61,27,2022-03-05,2022-03-06,56
62,52,2022-03-06,2022-03-07,3
63,78,2022-03-07,2022-03-08,17
64,40,2022-03-08,2022-03-09,50
65,22,2022-03-09,2022-03-10,5
66,66,2022-03-10,2022-03-11,28
67,49,2022-03-11,2022-03-12,18
68,95,2022-03-12,2022-03-13,47
69,24,2022-03-13,2022-03-14,32
70,67,2022-03-14,2022-03-15,14
71,91,2022-03-15,2022-03-16,60
72,42,2022-03-16,2022-03-17,8
73,72,2022-03-17,2022-03-18,31
74,9,2022-03-18,2022-03-19,21
75,48,2022-03-19,2022-03-20,42
76,73,2022-03-20,2022-03-21,2
77,36,2022-03-21,2022-03-22,54
78,19,2022-03-22,2022-03-23,10
79,88,2022-03-23,2022-03-24,19
80,18,2022-03-24,2022-03-25,36
81,59,2022-03-25,2022-03-26,7
82,55,2022-03-26,2022-03-27,25
83,30,2022-03-27,2022-03-28,49
84,97,2022-03-28,2022-03-29,15
85,64,2022-03-29,2022-03-30,39
86,21,2022-03-30,2022-03-31,52
87,80,2022-03-31,2022-04-01,6
88,26,2022-04-01,2022-04-02,35
89,75,2022-04-02,2022-04-03,20
90,45,2022-04-03,2022-04-04,44
91,37,2022-04-04,2022-04-05,11
92,51,2022-04-05,2022-04-06,55
93,6,2022-04-06,2022-04-07,24
94,33,2022-04-07,2022-04-08,37
95,100,2022-04-08,2022-04-09,30
96,57,2022-04-09,2022-04-10,16
97,83,2022-04-10,2022-04-11,59
98,1,2022-04-11,2022-04-12,4
99,14,2022-04-12,2022-04-13,22
100,54,2022-04-13,2022-04-14,48
101,32,2022-04-14,2022-04-15,13
102,67,2022-04-15,2022-04-16,33
103,35,2022-04-16,2022-04-17,58
104,95,2022-09-20,2022-04-18,26
105,78,2022-04-18,2022-04-19,51
106,89,2022-04-19,2022-04-20,34
107,90,2022-04-21,2022-04-22,46
